question_id,course,question,gold_answer,source_slide_or_note,slide_number
Q041,MCS 472 Fundamentals of Entrepreneurship,What is entrepreneurship according to Stevenson and Jarillo?,According to Stevenson and Jarillo entrepreneurship is fundamentally about pursuing opportunities even without controlling the resources required to exploit them. It involves identifying and acting on a favorable set of circumstances to create value regardless of whether the entrepreneur currently controls all the necessary resources.,1788818840902_MCS_472_Answer_Key.md,Q1
Q042,MCS 472 Fundamentals of Entrepreneurship,How did Fred Wilson define entrepreneurship?,Fred Wilson defined entrepreneurship as the art of turning an idea into a business. This definition emphasizes the creative and practical nature of entrepreneurship — it is not just about having ideas but about executing and transforming those ideas into viable operating businesses.,1788818840902_MCS_472_Answer_Key.md,Q2
Q043,MCS 472 Fundamentals of Entrepreneurship,What resources do entrepreneurs combine in launching a venture?,Entrepreneurs combine multiple resources in the process of launching and growing a venture including money (financial capital) people (human capital such as employees and partners) strategy (the plan and direction for the business) and business models (the framework that defines how the venture creates and captures value).,1788818840902_MCS_472_Answer_Key.md,Q3
Q044,MCS 472 Fundamentals of Entrepreneurship,What are the common reasons people become entrepreneurs?,The most common reasons people become entrepreneurs include the desire to be their own boss (freedom from management control) the desire to pursue their own ideas and innovations the possibility of financial rewards and the desire to escape the frustration of working in conventional employment. Most entrepreneurs are primarily motivated by independence and the opportunity to create something meaningful rather than by money alone.,1788818840902_MCS_472_Answer_Key.md,Q5
Q045,MCS 472 Fundamentals of Entrepreneurship,What is the number one characteristic consistently found in successful entrepreneurs?,The number one characteristic consistently found in successful entrepreneurs is passion for their business. Passion drives persistence through setbacks attracts employees and investors and sustains effort over the long-term journey of building a venture.,1788818840902_MCS_472_Answer_Key.md,Q6
Q046,MCS 472 Fundamentals of Entrepreneurship,What is execution intelligence and why is it important in entrepreneurship?,Execution intelligence refers to the ability to convert an idea into a viable business. It is arguably the most important entrepreneurial characteristic because having a great idea is not sufficient — the entrepreneur must be able to translate that idea into a working organisation with systems processes and a team. Many ventures fail not from bad ideas but from poor execution.,1788818840902_MCS_472_Answer_Key.md,Q8
Q047,MCS 472 Fundamentals of Entrepreneurship,Explain the myth that entrepreneurs are born not made and why it is incorrect.,The myth that entrepreneurs are born not made suggests that entrepreneurial talent is entirely genetic or innate. This is incorrect because entrepreneurial success depends significantly on environment education experiences and deliberate choices rather than on birth. Entrepreneurial skills such as opportunity recognition creativity networking and execution intelligence can be learned developed and improved over time through training mentorship and practice.,1788818840902_MCS_472_Answer_Key.md,Q9
Q048,MCS 472 Fundamentals of Entrepreneurship,What is the difference between an entrepreneurial firm and a conservative firm?,An entrepreneurial firm is proactive innovative and willing to take calculated risks to pursue opportunities and drive growth — it has a high level of entrepreneurial intensity. A conservative firm is risk-averse less proactive and tends to preserve the status quo rather than seek new opportunities. Entrepreneurial firms like Starbucks embrace innovation and calculated risk-taking while conservative firms tend to prioritise stability and avoid uncertainty.,1788818828647_Entrepreneurship_MCQs.md,Q23
Q049,MCS 472 Fundamentals of Entrepreneurship,What are the three types of start-up firms?,The three types of start-up firms are: Salary-substitute firms which are small businesses that provide owners with an income roughly equivalent to what they would earn in conventional employment (e.g. a local hair salon). Lifestyle firms which provide an owner with the ability to pursue a particular lifestyle while also earning a living (e.g. a surf instructor who runs surf lessons). Entrepreneurial firms which bring new ideas products or services to market with the intent to grow create wealth and eventually achieve significant scale. Government-regulated monopolies are NOT a type of start-up firm.,1788818840902_MCS_472_Answer_Key.md,Q15
Q050,MCS 472 Fundamentals of Entrepreneurship,What is an entrepreneurial opportunity and what are its four essential qualities?,An entrepreneurial opportunity is a favorable set of circumstances that creates a need for a new product idea or service. The four essential qualities of a true opportunity are: it is Attractive (desirable to customers and the market) Timely (the window of opportunity is open) Durable (it has longevity not just a passing trend) and Anchored in a product service or business that creates or adds value for its buyer or end user. A true opportunity is NOT completely risk-free.,1788818840902_MCS_472_Answer_Key.md,Q21-22
Q051,MCS 472 Fundamentals of Entrepreneurship,What is the difference between an opportunity and an idea?,An idea is an unvalidated thought or concept about a potential business — for example a person thinking of creating a drone delivery service without having researched market feasibility or demand. An opportunity is a validated favorable circumstance that has been assessed for market demand attractiveness and viability. Most ideas are NOT opportunities until they have been rigorously tested against market and feasibility criteria.,1788818859545_entre_midsem_highlighted.md,Q14
Q052,MCS 472 Fundamentals of Entrepreneurship,What are the main approaches to identifying entrepreneurial opportunities?,The main approaches to identifying entrepreneurial opportunities are: Observing trends (economic forces social forces technological advances and political/regulatory changes) Solving problems (identifying persistent challenges people face and designing solutions such as addressing reliance on fossil fuels) and Finding gaps in the marketplace (identifying overlooked or underserved customer groups such as Daisy Rock Guitars designing guitars specifically for female players). Blindly copying competitors is not a legitimate approach to opportunity identification.,1788818840902_MCS_472_Answer_Key.md,Q23
Q053,MCS 472 Fundamentals of Entrepreneurship,Give an example of how each major environmental trend can create an entrepreneurial opportunity.,Economic forces: GasBuddy.com was created to help consumers find and save on fuel costs during periods of fuel price volatility. Social forces: Daisy Rock Guitars identified and served female guitar players who were overlooked by mainstream manufacturers — an example of how increasing diversity and changing demographics create opportunities. Technological advances: Digital photography replacing film cameras shows how technological disruption creates entirely new industries. Political and regulatory changes: The No Child Left Behind Act in the US created opportunities for firms like Shakespeare Squared which produces educational materials to help schools meet new standards.,1788818840902_MCS_472_Answer_Key.md,Q25-30
Q054,MCS 472 Fundamentals of Entrepreneurship,What is entrepreneurial alertness and how does prior experience support opportunity recognition?,Entrepreneurial alertness is described as a sixth sense — a unique ability to notice opportunities that others miss. It allows entrepreneurs to identify patterns connections and gaps in the marketplace before others do. Prior experience in an industry or functional area supports opportunity recognition by: helping entrepreneurs spot market niches they understand building domain knowledge that informs what is missing or suboptimal and providing access to professional networks and contacts who share information about gaps and emerging needs.,1788818840902_MCS_472_Answer_Key.md,Q35
Q055,MCS 472 Fundamentals of Entrepreneurship,What is the role of weak-tie relationships versus strong-tie relationships in entrepreneurship?,Weak-tie relationships are ties between casual acquaintances or people who interact infrequently — they are especially valuable to entrepreneurs because they expose them to new perspectives diverse ideas and information outside their normal circles. Strong-tie relationships are ties between close friends family and frequent collaborators — they provide support and trust but tend to reinforce existing thinking. Research shows that most entrepreneurs get their best ideas from social and professional contacts including weak ties rather than from close family and friends alone.,1788818840902_MCS_472_Answer_Key.md,Q36-37
Q056,MCS 472 Fundamentals of Entrepreneurship,What is creativity and what are the five stages of the creative process?,Creativity is the capacity to produce novel and useful ideas. The five recognized stages of the creative process in order are: Preparation (researching and immersing oneself in the problem or opportunity) Incubation (allowing the subconscious mind to process the information — the idea gestates) Insight (the eureka moment when a solution or idea crystallises often called Illumination) Evaluation (critically assessing whether the idea is viable and worth pursuing) and Elaboration (developing the idea into a workable form — turning insight into reality). Regulation is NOT one of the five stages.,1788818840902_MCS_472_Answer_Key.md,Q38-39
Q057,MCS 472 Fundamentals of Entrepreneurship,What is brainstorming and what conditions make it most effective?,Brainstorming is a structured creativity technique where a group generates as many ideas as possible around a problem without immediate criticism. The conditions that make brainstorming most effective are: criticism is minimized (no negative evaluation during the session) freewheeling and bold ideas are encouraged (even wild suggestions are welcomed) the pace is quick and idea flow is high (quantity is valued over quality initially) and building on each other's ideas is allowed. All of these conditions together create the optimal brainstorming environment.,1788818840902_MCS_472_Answer_Key.md,Q40
Q058,MCS 472 Fundamentals of Entrepreneurship,What is feasibility analysis and when should it be conducted?,Feasibility analysis is a preliminary evaluation of a business idea to determine whether it is viable before significant resources are committed. It is best conducted early in the planning stage — before major investment of time money or effort — to avoid pursuing an idea that the market does not support. A well-conducted feasibility analysis has four components and if the idea passes the analysis the logical next step is to write a full business plan.,1788818840902_MCS_472_Answer_Key.md,Q41-42
Q059,MCS 472 Fundamentals of Entrepreneurship,Describe the four components of feasibility analysis.,Feasibility analysis has four components: Product/Service Feasibility which examines product desirability (whether consumers find the idea fundamentally appealing) and product demand (whether there is sufficient market demand). Industry/Target Market Feasibility which assesses the attractiveness of the industry (young fragmented growing industries are preferable) and the attractiveness of the target market (large enough to sustain the business but small enough to avoid dominant competitors). Organisational Feasibility which evaluates management prowess (the founder's passion knowledge and capabilities) and resource sufficiency (availability of critical non-financial resources like office space staff and IP protection). Financial Feasibility which considers total start-up cash needed financial performance of similar businesses and overall financial attractiveness of the proposed venture.,1788818840902_MCS_472_Answer_Key.md,Q43-56
Q060,MCS 472 Fundamentals of Entrepreneurship,What is a concept statement and what is its purpose in product/service feasibility analysis?,A concept statement is a one-page summary of a business idea prepared to get feedback from potential customers and other stakeholders before significant resources are invested. It describes the product or service the target customer the problem being solved and why the proposed solution is superior to existing alternatives. It is NOT two to three pages — a concept statement should be concise (one page) so it is easy for respondents to review and comment on quickly.,1788818840902_MCS_472_Answer_Key.md,Q46
Q061,MCS 472 Fundamentals of Entrepreneurship,What is the Bird-in-Hand Principle in effectuation and how does it differ from the Affordable Loss Principle?,The Bird-in-Hand Principle is an effectuation principle stating that entrepreneurs should start with what they already have — their existing skills knowledge networks and resources — rather than beginning with a desired end goal and trying to acquire what is needed. Esi Asante exemplifies this by starting her restaurant using her cooking skills blog audience and family farm produce. The Affordable Loss Principle is different: it focuses on evaluating opportunities based on whether the downside risk is acceptable rather than on the attractiveness of the predicted upside. Kwame exemplifies this by using personal savings and a simple prototype to limit potential losses rather than seeking large external funding.,1788818859545_entre_midsem_highlighted.md,Q2-3
Q062,MCS 472 Fundamentals of Entrepreneurship,What are the Patchwork Quilt Principle and the Lemonade Principle in effectuation?,The Patchwork Quilt Principle holds that entrepreneurs should build their venture collaboratively by enlisting partners stakeholders and co-creators — each partner brings resources commitments and capabilities that help shape and expand the venture. Akua Mensah demonstrates this by partnering with local seamstresses kente weavers and fabric traders. The Lemonade Principle holds that entrepreneurs should treat unexpected events and surprises as opportunities rather than as setbacks — turning lemons into lemonade. Yaw Owusu demonstrates this by pivoting to virtual fitness classes when COVID-19 disrupted in-person services expanding his reach significantly.,1788818859545_entre_midsem_highlighted.md,Q1-4
Q063,MCS 472 Fundamentals of Entrepreneurship,What is the Pilot-in-the-Plane Principle?,The Pilot-in-the-Plane Principle is an effectuation principle stating that entrepreneurs should focus on what they can control and actively shape their own future rather than merely reacting to external trends or forces. Instead of relying on prediction the effectual entrepreneur acts with the belief that the future is not fixed and can be constructed through their own decisions and commitments. Ama Nyarko demonstrates this by focusing on what she could control — quality brand values and ethical sourcing — and using that discipline to build a loyal customer base.,1788818859545_entre_midsem_highlighted.md,Q5
Q064,MCS 472 Fundamentals of Entrepreneurship,What is a business plan and what are the two main reasons entrepreneurs write them?,A business plan is the foundation of every new venture — a written document that carefully describes every aspect of the business turning concepts into a concrete roadmap for execution. The two main reasons entrepreneurs write business plans are: it forces the founding team to systematically think through every aspect of the new venture (revealing weaknesses and gaps before launch) and it serves as a document that communicates the merits of the new venture to outsiders such as investors and bankers who need to evaluate the opportunity before committing funds.,1788818828647_Entrepreneurship_MCQs.md,Q12
Q065,MCS 472 Fundamentals of Entrepreneurship,What are the three types of business plans and when is each appropriate?,The three types of business plans are: Summary Business Plan (10–15 pages) which works best for new ventures in the early stages of development that want to test the waters to see if investors are interested — suitable for high-profile entrepreneurs gauging early investor reaction. Full Business Plan (25–35 pages) which is the conventional complete plan used to raise funding and guide the business — presented to serious investors and lenders. Operational Business Plan which is primarily an internal document used to guide day-to-day operations and management decisions rather than for external fundraising.,1788818840902_MCS_472_Answer_Key.md,Q61
Q066,MCS 472 Fundamentals of Entrepreneurship,What is the executive summary and why is it considered the most important section of a business plan?,The executive summary is a concise overview of the entire business plan — it should be a maximum of two pages. It is arguably the most important section because investors often decide from reading the executive summary alone whether to continue reading the full plan. A weak executive summary may cause an investor to discard the plan entirely without reviewing the detailed analysis and financial projections it contains. It must therefore clearly and compellingly convey the opportunity the solution the market and the team.,1788818840902_MCS_472_Answer_Key.md,Q64-66
Q067,MCS 472 Fundamentals of Entrepreneurship,What does the industry analysis section of a business plan include?,The industry analysis section of a business plan describes the broader industry in which the venture will compete. It typically includes: the size of the industry its growth rate its structure (fragmented or concentrated) and key trends (technological social regulatory economic) that are shaping the industry. It helps investors and the founding team understand whether the industry context is favourable and whether the venture is entering at the right time.,1788818840902_MCS_472_Answer_Key.md,Q67
Q068,MCS 472 Fundamentals of Entrepreneurship,What does the operations plan in a business plan describe?,The operations plan describes how the company will be run on a day-to-day basis — it is the section that holds the key to how the company will function. It covers both backstage activities (internal processes such as supply chain management manufacturing quality control and administration) and frontstage activities (customer-facing processes such as sales service delivery and customer support). It also describes the facilities and equipment the business will require to operate.,1788818828647_Entrepreneurship_MCQs.md,Q27-29
