question,gold_answer,crag_ans,naive_ans,bm25_ans,vanilla_ans
Describe the four types of physical transmission media used in computer networks.,Twisted-pair cable consists of two independently insulated wires twisted around each other and is the least expensive type used in many telephone systems. Coaxial cable consists of an insulated centre wire grounded by a shield of braided wire and is the primary type used by the cable television industry. Fibre-optic cable contains hundreds of clear fiberglass or plastic fibres that can carry more data and is lighter and less susceptible to interference but is fragile and expensive. ISDN line is a special digital telephone line that transmits and receives information at very high speeds.,1. Copper Wire,The four types of physical transmission media used in computer networks are:,The four types of physical transmission media used in computer networks are:,"The four types of physical transmission media used in computer networks are copper, fiber optics, wireless, and satellite."
What are the two most common types of networks and what is the primary difference between them?,The two most common types of networks are Local Area Networks (LANs) and Wide Area Networks (WANs). The primary difference is that a LAN is generally confined to a limited geographical area such as a building or office whereas a WAN covers a large geographical area. Most WANs are made up of several connected LANs.,"The two most common types of networks are Local Area Networks (LANS) and Wide Area Networks (WANS). The primary difference between the two is that a LAN is generally confined to a limited geographical area, whereas a WAN covers a large geographical area. Most WANs are links between PCs and peripherals.","The two most common types of networks are Local Area Networks (LANS) and Wide Area Networks (WANS). The primary difference between the two is that a LAN is generally confined to a limited geographical area, whereas a WAN covers a large geographical area.",The most common types of networks are:,"The two most common types of networks are LAN and WAN, and the primary difference between them is that LANs are local networks that connect devices within a small area, while WANs are wide area networks that connect devices over long distances."
Distinguish between a LAN and a WAN and list the types of WANs.,A Local Area Network (LAN) spans a small area such as a building or office where software applications and resources are stored on a file server and print servers enable multiple users to share the same printer. A Wide Area Network (WAN) spans a large geographical area and includes several types: Metropolitan Area Network (MAN) Public Access Network (PAN) Value Added Network (VAN) and Virtual Private Network (VPN).,A LAN is a network that spans a small geographical area such as a building or an office. A WAN covers a large geographical area. The most common types of WANs are:,A LAN is a network that spans a small area such as a building or an office. A WAN is a network that spans a large geographical area. The types of WANs are switched WAN and point-to-point WAN.,1.18,"A LAN is a local area network that connects devices within a small geographic area, while a WAN is a wide area network that connects devices across a large geographic area. The types of WANs are:"
What is an Intranet and how does it differ from an Extranet?,An Intranet is a private LAN designed for use by everyone within an organisation. It might consist of an internal e-mail system a message board and one or more web site portals containing company news forms and personnel information and access is restricted by a firewall. An Extranet is a network that connects people within a company with people outside the company within a secure password-protected network that can be accessed from anywhere.,"An intranet is a private LAN designed for use by everyone within an organization, while an extranet connects people within a company with people outside the company within a secure, password-protected network.","An intranet is a private LAN designed for use by everyone within an organization, while an extranet is a network that connects people within a company with people outside the company, all within a secure and password-protected network that can be accessed from anywhere.","An intranet is a private LAN designed for use by everyone within an organization. An intranet might consist of an internal e-mail system, a message board and one or more Web site portals that contain company news, forms, and personnel information.","An Intranet is a private network within an organization that allows employees to access internal resources, while an Extranet is a public network that allows external parties to access certain resources."
What are the three properties used to categorise or classify networks?,Networks are usually classified using three properties: Protocol (the agreed-on rules for transmitting data) Architecture (the way a network is designed and built — peer-to-peer or client/server) and Topology (the way computers and peripherals are configured — bus star ring mesh or hybrid).,"The three properties used to categorise or classify networks are protocol, architecture, and topology.",Metadata are data that describe the properties or characteristics of end-user data and the context of,1. Linear,"The three properties used to categorise or classify networks are connectivity, robustness, and resilience."
What is a network protocol and what features does it determine?,A protocol is an agreed-on set of rules and procedures for transmitting data between two or more devices. Features determined by the protocol include: how the sending device indicates it has finished sending the message how the receiving device indicates it has received the message and the type of error checking to be used. Most networks use Ethernet while on the Internet the major protocol is TCP/IP (Transmission Control Protocol/Internet Protocol).,"A network protocol is a set of rules and procedures for transmitting data between two or more devices. It determines features such as how the sending device indicates it has finished sending a message, how the receiving device indicates it has received a message, and the type of error checking to be used.","A network protocol is a set of rules and procedures for transmitting data between devices. It determines how the sending device indicates it has finished sending the message, how the receiving device indicates it has received the message, and the type of error checking to be used.",I cannot find this in the lecture materials.,"A network protocol is a set of rules that determines how data is transmitted and received between devices on a network, including features such as error detection, flow control, and security."
What are the two major types of network architecture and how do they differ?,Network architecture refers to the way a network is designed and built. The two major types are: Peer-to-peer architecture where computers connect with each other in a workgroup to share files printers and Internet access — used to connect a small number of computers. Client/server architecture where information is sent from a client computer to a server which then relays the information back to the client or to other computers on the network — suited for larger networks.,"The two major types of network architecture are peer-to-peer and three-schema. Peer-to-peer architecture connects computers in a workgroup to share files, while the three-schema architecture separates user applications and physical databases.","The two major types of network architecture are peer-to-peer architecture and client-server architecture. Peer-to-peer architecture is a type of network architecture where computers connect with each other in a workgroup to share files. On the other hand, client-server architecture is a type of network architecture where one computer, called the server, provides services to other computers, called clients.",INTERNET PROTOCOLS,"The two major types of network architecture are client-server and peer-to-peer, and they differ in the way they distribute and exchange data and resources among the nodes."
Describe the four main network topologies.,Network topology refers to the way computers and peripherals are configured to form networks. Bus topology: all computers are linked by a single line of cable. Star topology: multiple computers and peripheral devices are linked to a central computer called a host. Ring topology: each computer or workstation is connected to two other computers with the entire network forming a circle. Mesh topology: every device is connected to every other device providing multiple redundant paths. Hybrid topology combines different layout types to meet specific needs.,A hybrid topology combines network layouts to meet their needs.,1.31,1. The first type of network topology is the bus topology.,"The four main network topologies are the bus, star, ring, and mesh topologies."
What is a Network Interface Card (NIC) and what is its role in connecting a node to a network?,The NIC is a board installed in a computer or network device. In many computers it is built into the main board. One end is accessible on the outside of the workstation via a connector for attachment to communications media and it may also be a separate card inserted into an expansion slot. Imprinted on every NIC is a hardware address known as the Media Access Control (MAC) address. MAC addresses (also called Physical Addresses) are unique for every host device and nodes are attached to networks through communications media via the NIC.,A Network Interface Card (NIC) is a board that is installed in a computer or network device. It is responsible for connecting the node to the network through a communication medium.,A NIC is a board that is installed in the computer or network device. It is responsible for connecting the node to the network through a network interface card.,A Network Interface Card (NIC) is a board that is installed in a computer or network device. Its role is to connect the node to the network through communication media.,A Network Interface Card (NIC) is a hardware component that allows a node to connect to a network by providing a physical connection to the network interface card (NIC) on the network card.
What are the five main networking hardware devices and what does each do?,The five main networking devices are: Repeaters (also called amplifiers) — electronic devices that receive weakened signals and amplify and resend them along the network. Hubs/Switches — electronic devices with a number of ports used in a LAN to link groups of computers. Routers — electronic devices used to ensure messages are sent to their intended destinations. Bridges — hardware and/or software that allows communication between two similar networks. Gateways — hardware and/or software that allows communications between dissimilar networks.,1. Routers: Routers are electronic devices used to ensure messages are sent to their intended destinations.,1. NIC (Network Interface Card) – a hardware device that allows a computer to connect to a network.,1. Repeaters - electronic devices that receive signals and amplify and send them along the network.,"The five main networking hardware devices are routers, switches, firewalls, hubs, and access points, and they perform functions such as routing, switching, filtering, aggregation, and wireless connectivity."
Explain how a repeater works and why it is necessary in a network.,A common problem in networking is that electrical signals weaken as they travel through copper wire due to electrical resistance. This limits the length of cable that can be used. A repeater overcomes this limit when there is a need to connect two computers at a larger distance. A repeater is connected to two cable segments — any electrical signal reaching it from one segment is amplified and retransmitted to the other segment.,"A repeater is a device that amplifies and retransmits electrical signals in a network. It is necessary in a network because it allows for longer distances to be covered without weakening the signal. This is important because electrical signals weaken as they travel through wires, and a repeater helps to overcome this limitation.","A repeater is a device that amplifies the electrical signals and resends the data. It is necessary in a network because electrical signals traveling through wires (such as copper wires used in most networks), weaken due to the wire's resistance.","A repeater is a device that receives a signal, amplifies it, and retransmits it. It is necessary in a network because it extends the range of the signal and improves the quality of the signal.","A repeater is a device that receives a signal, amplifies it, and retransmits it to extend the range of the network."
What is a hub and what is its major limitation?,The hub was introduced when new Ethernet technologies brought new cable types that could not fulfil the physical characteristics required by the original physical bus Ethernet. The hub's major function is to replicate data it receives from one device attached to it to all other devices. However using hubs can contribute to congestion on an Ethernet network because all ports share the same collision domain. Hub networks are usually limited to a maximum of about ten hosts before performance deteriorates significantly.,"A hub is a device that connects multiple computers to a network. Its major limitation is that only one computer can be connected to the hub at a time, and the network performance deteriorates as the number of hosts on the hub increases.","A hub is a network topology that connects hosts on a particular network segment together. Its major limitation is that it does not segment a network, meaning that it does not create separate collision or broadcast domains.",I cannot find this in the lecture materials.,"A hub is a device that connects multiple devices to the internet, but it has a major limitation of being vulnerable to hacking and security breaches."
What is network segmentation and which devices are used to achieve it?,Network segmentation is the process of breaking up one large network into a number of smaller ones to improve performance. As the number of hosts on a hub network increases network performance deteriorates so segmentation becomes necessary. Network segmentation is achieved with devices like Switches Routers and Bridges. Note that hubs do not segment a network — they only connect hosts on a particular segment together.,"Network segmentation is the process of dividing a network into smaller segments using devices such as switches, routers, and bridges.","Network segmentation is the process of dividing a network into smaller segments to improve security and performance. Devices such as switches, routers, and bridges are used to achieve network segmentation.","Network segmentation is a process of dividing a network into smaller subnetworks to improve network performance. Devices such as switches, routers, and bridges are used to achieve network segmentation.","Network segmentation is the process of dividing a network into smaller subnetworks to improve security and performance, and it can be achieved using routers, switches, and firewalls."
Compare routers and switches in terms of OSI layer operation broadcast domains and collision domains.,Routers operate at Layer 3 (Network Layer) of the OSI model and by default break up both broadcast domains and collision domains — they provide a separate broadcast domain for each interface. Switches (Layer 2 switches) operate at Layer 2 (Data Link Layer) and break up collision domains by default but do not break up broadcast domains — they create separate collision domains but a single broadcast domain. Switches do not create internetworks while routers do. Switches switch frames from one port to another within a switched network while routers forward packets between different networks.,A router is a device that connects two or more networks together and routes packets of data between them. Routers are usually referred to as Layer 3 switches.,"Routers operate at layer 3 of the OSI model, and TCP/IP model, and create separate broadcast and collision domains. Switches operate at layer 2 of the OSI model, and TCP/IP model, and create separate collision domains but not broadcast domains.",Routers operate at layer 3 of the OSI model and create separate broadcast and collision domains. Switches operate at layer 2 of the OSI model and create separate collision domains.,"Routers operate in broadcast domains, while switches operate in collision domains."
What is a bridge and how does it reduce network traffic?,A bridge is a network device that filters data traffic from one network segment to another. Bridges reduce the amount of traffic on a LAN by dividing it into two network segments. A bridge examines each data frame and passes those known to be within the same LAN segment while forwarding those known to be on the other interconnected segment. Bridges learn which MAC addresses are on which network and develop a learning table (Bridging Table) so subsequent messages can be forwarded to the right network. Bridges operate at the data link layer (Layer 2) of the OSI model.,"A bridge is a device that filters data traffic at a network boundary, reducing the amount of traffic on a LAN by dividing it into two segments. It does not limit the scope of broadcasts and does not scale to extremely large networks. However, it does introduce store and forward delays and is used to connect two or more network segments physically and logically separated. Switches offer more hardware ports than bridges and are","A bridge is a device that filters data traffic at a network boundary, reducing the amount of traffic on a LAN by dividing it into two segments. It does not limit the scope of broadcasts and does not scale to extremely large networks. However, it does introduce store and forward delays and is used to connect two or more network segments physically and logically separated. Switches offer more hardware ports than bridges and are",A bridge is a device that filters data traffic at a network boundary. It divides the traffic into two segments and reduces the amount of traffic on a LAN.,"A bridge is a device that connects two networks and allows data to flow between them, reducing the amount of data that needs to be sent over the internet."
What is a gateway and how does it differ from a router?,A gateway consists of hardware and/or software that allows communications between dissimilar networks. Historically the term gateway was used to refer to a routing device but in the TCP/IP world the term router now describes such a device. Today the term gateway refers to special-purpose devices that perform protocol conversions — they implement application layer conversions of information received from various protocols. Examples include voice gateways that convert speech on analogue phone lines to network protocol data and video gateways that convert video from digital phone lines to LAN protocol data.,"A gateway is a network point that acts as an entrance to another network, while a router is a device that directs traffic between networks. Gateways are typically used to connect different types of networks, while routers are used to connect networks within a single organization.","A gateway is a network point that acts as an entrance to another network. It differs from a router in that it can also act as a switch, providing the actual path in and out of the gateway for a given packet.","A gateway is a device that connects two or more networks, allowing communication between them. It differs from a router in that it is responsible for connecting networks, while a router is responsible for directing traffic between networks.","A gateway is a device that connects a local area network (LAN) to the internet, while a router is a device that connects multiple LANs to the internet."
What is a firewall and what is its function in a network?,Firewalls are systems that establish access control policies among networks. They can block information from entering a network or from getting out of that network and they can permit different users to perform different kinds of operations according to the user's authorisations. An intranet's website is typically restricted by a firewall to prevent unauthorised external access.,"A firewall is a computer, positioned between a local network and the Internet that monitors the packets flowing in and out. Its function is to prevent or defend against external attacks on the network.",A firewall is a system that establishes access control policies among networks. It can block information from entering a network.,A firewall is a network security system that monitors and controls incoming and outgoing network traffic based on predetermined security rules. Its function is to protect the network from unauthorized access and malicious attacks.,A firewall is a network security device that monitors and controls incoming and outgoing network traffic based on predetermined security rules.
What are the two types of modem (by location) and how does a modem work?,A modem is a device that converts digital data from a terminal or computer to analogue signals used by voice communication networks such as the telephone system and converts audio tones back to digital pulses at the receiving end. The word Modem stands for MOdulator-DEModulator. Internal modems are electronic cards installed in one of the computer's expansion slots. External modems are fully functioning external devices connected to the computer using a serial cable and powered by an external power source. Modems are available in different transmission speeds measured in BPS (bits per second) also called BAUD rate.,The two types of modem are the local loop modem and the international loop modem. A modem works by converting the analog signal from the telephone line into a digital signal that can be transmitted over the telephone line. The modem then converts the digital signal back into an analog signal at the receiving end.,"The modem enables digital data to be represented by an analogue carrier signal,","The modem enables digital data to be represented by an analogue carrier signal,",A modem is a device that converts digital signals into analog signals for transmission over a telephone line and vice versa.
Given the IP address 195.143.208.133/25 what class is it and what is its default subnet mask?,The address 195.143.208.133 falls in the range 192.0.0.0 to 223.255.255.255 which is a Class C address. The default subnet mask for a Class C address is 255.255.255.0 (or /24 in CIDR notation). The /25 in the given address indicates a custom subnet mask of 255.255.255.128 (11111111.11111111.11111111.10000000 in binary).,I cannot find this in the lecture materials.,Class: Class A,"Class C, 255.255.255.0",The IP address is in class C and its default subnet mask is
Given IP address 176.184.238.73/16 what class is it and what is the NetID?,The address 176.184.238.73 falls in the range 128.0.0.0 to 191.255.255.255 making it a Class B address. Since it is a Class B address the NetID is determined by the first 16 bits. In binary: 10110000.10111000.11101110.01001001. Filling the host portion with zeros gives 10110000.10111000.00000000.00000000 which in decimal notation is 176.184.0.0.,Class: Class A,Class: Local,Interaction models help us to understand what is going on in the interaction,The class of the IP address 176.184.238.73/16 is Class C and the NetID is 192.168.1.1.
What is CIDR notation (the /n notation) and what does /16 represent in dotted decimal and bitwise notation?,CIDR stands for Classless Inter-Domain Routing. The /n notation indicates the number of bits in the network (subnet mask) portion of the address. /16 means the first 16 bits are all ones representing the network portion. In dotted decimal notation /16 is 255.255.0.0 and in bitwise notation it is 11111111.11111111.00000000.00000000.,CIDR notation is a notation used to represent IP addresses and subnet masks. /16 represents a subnet mask of /16 in dotted decimal notation and a subnet mask of /16 in bitwise notation.,• 1.11 Data Encryption,The CIDR notation is a way of specifying an IP address range.,"CIDR notation is a way to represent IP addresses and subnet masks, and /16 represents a subnet mask of /16 in dotted decimal notation and a subnet mask of 0xFF00 in bitwise notation."
For the IP address 176.184.238.73/16 what is the HostID?,Since this is a Class B address with a /16 mask the HostID is determined by the last 16 bits of the IP address. The network portion is 10110000.10111000 (176.184) and the host portion is 11101110.01001001 (238.73). Therefore the HostID is 238.73 and the host address range for this network is 176.184.0.1 to 176.184.255.254.,HostID: 192.168.0.1,HostID: 192.168.0.1,HostID:,"The HostID for the IP address 176.184.238.73/16 is ""192.168.1.1""."
How many subnets and hosts per subnet are created when subnetting 176.184.0.0/16 into /20 subnets?,To create 16 subnets from the /16 block 4 bits are borrowed from the host side (2^4 = 16 subnets) giving a new prefix of /20 with subnet mask 255.255.240.0. Each subnet has 12 host bits remaining supporting 2^12 = 4096 addresses per subnet and 4094 usable host addresses (subtracting network and broadcast addresses). The subnet addresses increment by 16 in the third octet: 176.184.0.0/20 176.184.16.0/20 176.184.32.0/20 and so on up to 176.184.240.0/20.,Subnet: 176.184.0.0/16,Subnet 1: 172.16.0.0/24,I cannot find this in the lecture materials.,Answer: There are 8 subnets and 128 hosts per subnet when subnetting 176.184.0.0/16 into /20 subnets.
What are the causes of LAN traffic congestion?,Causes of LAN traffic congestion include: Too many hosts in a single broadcast domain Broadcast storm Multicasting Low bandwidth Adding hubs for connectivity to the network and a large amount of ARP or IPX traffic. Note that a switch does not break up broadcast domains — it only creates separate collision domains while the broadcast domain remains shared.,"Congestion on a LAN can be caused by too many hosts in a single broadcast domain, a broadcast storm, multicasting, low bandwidth, adding hubs for connectivity, and a bunch of ARP or IPX traffic.","Congestion on a LAN can be caused by too many hosts in a single broadcast domain, a broadcast storm, multicasting, low bandwidth, adding hubs for connectivity, and a bunch of ARP or IPX traffic.",Causes of LAN traffic congestion include:,"The causes of LAN traffic congestion include high network traffic, limited bandwidth, and inefficient network configurations."
Explain the functions of a router in a network.,Routers are used to connect separate networks together and route packets of data between them. The functions of a router include: Packet Switching (forwarding packets from one network to another) Packet filtering (examining packets and deciding whether to forward or discard based on routing rules) Internetwork communication (creating internetworks that allow different networks to communicate) and Path selection (choosing the best path for packets using a routing table). Routers also by default break up both broadcast and collision domains and provide connections to WAN services.,"A router is a device that connects multiple networks together and allows for the routing of packets between them. It also filters and directs traffic based on layer 3 information, such as IP addresses. Routers can also create internetwork and provide connections to WAN services. They also have the ability to create broadcast domains and prevent collisions.","A router is responsible for routing traffic to all the networks in your internetwork. To be able to route packets, a router must know the following:","A router is a device that connects multiple networks and allows data to be transmitted between them. It learns about remote networks from neighbor routers or from an administrator, and then builds a routing table that describes how to find the remote networks. If the network is directly connected, the router already knows how to get to it. If the networks are not attached, the router must learn how to get to",A router in a network is responsible for forwarding data packets between different networks and ensuring efficient communication between devices.
What are the different wireless transmission media and what factors determine which medium is selected?,Wireless media include: Microwave system (transmits data via high-frequency radio signals through the atmosphere) Satellite system (receives transmitted signals amplifies them and retransmits them to the appropriate locations) Cellular technology (uses antennae resembling telephone towers to pick up radio signals within a specific cell area) and Infrared technology (transmits data as infrared light waves from one device to another providing wireless links between PCs and peripherals). The type of medium selected is determined by the type of network the size of the network and the cost.,The different wireless transmission media are:,"The different wireless transmission media are infrared, Bluetooth, and Wi-Fi. The factors that determine which medium is selected are the type of communication interface, the type of protocol used, and the distance between the transmitter and receiver.",The different wireless transmission media are:,"The different wireless transmission media are radio waves, infrared, and optical, and the factors that determine which medium is selected are the distance, bandwidth, and cost."
What is the Ethernet bus and how does it work?,Ethernet LANs use a bus topology where all stations are connected to a single long cable. Any station can send a signal along the cable which all other stations will receive. Unlike ring topologies the cable does not close a loop. The original Ethernet LANs (physical bus) relied on the physical characteristics of coaxial cable. When new cable types were introduced that could not fulfil those requirements hubs were introduced to simulate the bus characteristics.,"The Ethernet bus is a physical bus that carries data between connected devices in a network. It is a type of bus topology where all stations are connected to a single long cable. Any station can send a signal along the cable, which all other stations will receive. This allows for efficient and reliable data communication between devices.","The Ethernet bus is a type of network that uses a physical bus to connect multiple devices. It works by using a single cable to transmit data between devices, with each device having the ability to send and receive data.","The Ethernet bus is a type of network topology where all stations are connected to a single long cable. Any station can send a signal along the cable, which all other stations will receive. Unlike ring networks, the Ethernet bus does not require a central switch to control the flow of data.",The Ethernet bus is a communication bus that allows devices to connect and exchange data in a network.
Explain how a Token Ring network operates.,A token passing ring LAN is a group of computers connected in a loop that uses a token passing access mechanism. A computer wishing to send data must first receive permission by acquiring the token. When it gets control of the network it may transmit a frame. Each frame transmitted on the ring is passed from one computer to the next until it ultimately returns to the initiator of the transmission. This ensures orderly access to the network and prevents collisions.,"A Token Ring network is a type of computer network that uses a token passing access mechanism. It is a group of computers that are connected in a loop, and each computer has a token that is used to access the network. The token is passed from one computer to the next, and the computer that is currently using the token can only access the network until the token is passed to the next computer","A Token Ring network is a type of computer network that uses a token passing access mechanism. It is a group of computers that are connected in a loop, and each computer has a token that is used to access the network. The token is passed from one computer to the next, and the computer that is currently using the token can only access the network until the token is passed to the next computer","A Token Ring network is a type of computer network that uses a token passing access mechanism. It is a group of computers that are connected in a loop, and each computer has a token that is used to access the network. The token is passed from one computer to the next, and the computer that is currently using the token can only access the network until the token is passed to the next computer","A Token Ring network operates by using a token to control access to the network, with each device having a token that is used to request access to the network."
What is hostname to IP address resolution and when is DNS used versus a broadcast?,When two hosts on a network need to communicate they use their hardware (MAC) addresses. If a host knows only the other host's name and not its IP address it must perform hostname to IP address resolution. If the two hosts are on different networks this requires a Domain Name Service (DNS) lookup. If the two hosts are on the same LAN the sending host can send a BROADCAST message to all hosts on the network to request the MAC address corresponding to the known hostname — this is handled by the NetBIOS Name Service (NBNS also known as WINS on Windows systems).,"Hostname to IP address resolution is the process of using DNS to determine the IP address of a hostname. DNS is used when the two hosts are on different networks, while a broadcast is used when the two hosts are on the same LAN.","Hostname to IP address resolution is the process of converting a hostname into an IP address. DNS is used when the two hosts are on the same LAN, while a broadcast is used when the two hosts are on different networks.","IP works with the Address Resolution Protocol (ARP) to determine which network this packet is destined for by looking at the IP address and the subnet mask of the Host A. Since this is a request for a remote host, which means it is not destined to be sent to a host on the local network, the IP address is used to determine the network. DNS is used when the hostname","Hostname to IP address resolution is the process of finding the IP address of a specific hostname, and DNS is used when the hostname is known and the IP address is needed, while a broadcast is used when the hostname is unknown and the IP address is needed."
